^SPX (Standard & Poors 500 Index),3097.74,-17.6
Jun 22 2020 @ 01:56 ET,Bid,3053.25,Ask,3185.43,Size,1x1,Vol,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
06/22/2020,SPXW200622C01350000,0,0,1718.6,1724.7,0,0,0.9567,0.0001,0,1350.000,SPXW200622P01350000,0.1,0,0,0.05,0,4.4141,-0.0001,0,6
06/22/2020,SPXW200622C01400000,1805.3,0,1668.6,1675.2,0,0,0.9548,0.0001,1,1400.000,SPXW200622P01400000,0.1,0,0,0.05,0,4.2499,-0.0001,0,5
06/22/2020,SPXW200622C01450000,0,0,1618.6,1625.2,0,0,0.9529,0.0001,0,1450.000,SPXW200622P01450000,0,0,0,0.05,0,4.0683,-0.0002,0,0
06/22/2020,SPXW200622C01500000,1601.3,0,1568.5,1575.2,0,0,0.951,0.0001,1,1500.000,SPXW200622P01500000,0.05,0,0,0.05,0,3.876,-0.0001,0,31
06/22/2020,SPXW200622C01550000,0,0,1518.5,1524.7,0,0,0.949,0.0001,0,1550.000,SPXW200622P01550000,0,0,0,0.05,0,3.7168,-0.0002,0,0
06/22/2020,SPXW200622C01600000,0,0,1468.5,1475.2,0,0,0.9468,0.0001,0,1600.000,SPXW200622P01600000,0.05,0,0,0.05,0,3.5464,-0.0002,0,50
06/22/2020,SPXW200622C01650000,0,0,1418.6,1424.7,0,0,0.9446,0.0001,0,1650.000,SPXW200622P01650000,0.1,0,0,0.05,0,3.376,-0.0002,0,1
06/22/2020,SPXW200622C01700000,0,0,1368.7,1374.7,0,0,0.9423,0.0001,0,1700.000,SPXW200622P01700000,0.22,0,0,0.05,0,3.251,-0.0002,0,15
06/22/2020,SPXW200622C01750000,0,0,1318.7,1325.2,0,0,0.9399,0.0001,0,1750.000,SPXW200622P01750000,0.3,0,0,0.05,0,3.0945,-0.0002,0,5
06/22/2020,SPXW200622C01800000,0,0,1268.6,1274.7,0,0,0.9373,0.0001,0,1800.000,SPXW200622P01800000,0.15,0,0,0.05,0,2.9208,-0.0002,0,81
06/22/2020,SPXW200622C01850000,0,0,1218.6,1224.7,0,0,0.9346,0.0001,0,1850.000,SPXW200622P01850000,0.3,0,0,0.05,0,2.803,-0.0002,0,234
06/22/2020,SPXW200622C01900000,1215.9,0,1168.7,1175.2,0,0,0.9318,0.0001,2,1900.000,SPXW200622P01900000,0.05,0,0,0.05,0,2.6435,-0.0002,0,21
06/22/2020,SPXW200622C01950000,1243.5,0,1118.6,1124.7,0,0,0.9289,0.0001,1,1950.000,SPXW200622P01950000,0.4,0,0,0.05,0,2.5141,-0.0002,0,37
06/22/2020,SPXW200622C02000000,0,0,1068.6,1074.7,0,0,0.9257,0.0001,1,2000.000,SPXW200622P02000000,0.05,0,0,0.05,0,2.3857,-0.0002,0,86
06/22/2020,SPXW200622C02050000,0,0,1018.6,1024.7,0,0,0.9223,0.0001,0,2050.000,SPXW200622P02050000,0.05,0,0,0.05,0,2.2411,-0.0002,0,6002
06/22/2020,SPXW200622C02100000,0,0,968.7,974.7,0,0,0.9187,0.0002,0,2100.000,SPXW200622P02100000,0.05,0,0,0.05,0,2.132,-0.0003,0,76
06/22/2020,SPXW200622C02150000,0,0,918.7,925.2,0,0,0.9148,0.0002,0,2150.000,SPXW200622P02150000,0.05,0,0,0.05,0,2.001,-0.0003,0,303
06/22/2020,SPXW200622C02200000,0,0,868.5,875.2,0,0,0.9107,0.0002,0,2200.000,SPXW200622P02200000,0.05,0,0,0.05,0,1.8888,-0.0003,0,278
06/22/2020,SPXW200622C02250000,0,0,818.5,825.3,0,0,0.9063,0.0002,0,2250.000,SPXW200622P02250000,0.05,0,0,0.05,90,1.7523,-0.0003,0,488
06/22/2020,SPXW200622C02300000,0,0,768.8,775.3,0,1.7473,0.9993,0,0,2300.000,SPXW200622P02300000,0.05,-0.025,0,0.05,120,1.635,-0.0003,0,4152
06/22/2020,SPXW200622C02350000,655.9,0,718.7,725.3,0,1.251,1,0,1,2350.000,SPXW200622P02350000,0.05,-0.05,0,0.05,80,1.5202,-0.0003,0,1502
06/22/2020,SPXW200622C02375000,744.6,0,693.7,699.7,0,0,0.8934,0.0003,1,2375.000,SPXW200622P02375000,0.05,-0.05,0,0.05,80,1.4697,-0.0004,0,643
06/22/2020,SPXW200622C02400000,0,0,668.7,675.3,0,1.001,1,0,0,2400.000,SPXW200622P02400000,0.05,-0.05,0,0.05,85,1.4152,-0.0004,0,6815
06/22/2020,SPXW200622C02425000,0,0,643.7,649.8,0,0,0.8872,0.0003,0,2425.000,SPXW200622P02425000,0.05,-0.125,0,0.05,501,1.3604,-0.0004,0,301
06/22/2020,SPXW200622C02450000,0,0,618.7,625.3,0,0,0.9999,0,0,2450.000,SPXW200622P02450000,0.05,-0.125,0,0.05,340,1.3135,-0.0005,0,3085
06/22/2020,SPXW200622C02475000,0,0,593.7,600.3,0,0,0.9999,0,0,2475.000,SPXW200622P02475000,0.05,-0.1,0,0.05,462,1.251,-0.0005,0,398
06/22/2020,SPXW200622C02500000,0,0,568.7,574.9,0,0,0.8769,0.0003,0,2500.000,SPXW200622P02500000,0.05,-0.15,0,0.05,741,1.1992,-0.0005,0,2244
06/22/2020,SPXW200622C02525000,0,0,543.7,549.9,0,0,0.873,0.0004,0,2525.000,SPXW200622P02525000,0.05,-0.15,0,0.05,6,1.1431,-0.0005,0,213
06/22/2020,SPXW200622C02550000,0,0,518.7,525.3,0,0,0.9999,0,0,2550.000,SPXW200622P02550000,0.05,-0.2,0,0.05,490,1.0944,-0.0006,0,2583
06/22/2020,SPXW200622C02560000,0,0,508.5,515.3,0,0,0.8672,0.0004,0,2560.000,SPXW200622P02560000,0.1,-0.15,0,0.05,10,1.0635,-0.0005,0,577
06/22/2020,SPXW200622C02570000,540.13,2.78,498.7,505.3,1,0,0.9999,0,0,2570.000,SPXW200622P02570000,0.07,-0.18,0,0.05,52,1.0479,-0.0005,0,70
06/22/2020,SPXW200622C02575000,440.4,0,493.7,499.9,0,0,0.8645,0.0004,1,2575.000,SPXW200622P02575000,0.1,-0.15,0,0.05,41,1.0322,-0.0005,0,693
06/22/2020,SPXW200622C02580000,0,0,488.7,494.9,0,0,0.8636,0.0004,0,2580.000,SPXW200622P02580000,0.1,-0.2,0,0.05,40,1.0302,-0.0006,0,93
06/22/2020,SPXW200622C02590000,520.66,3.31,478.7,485,1,0,0.8617,0.0004,1,2590.000,SPXW200622P02590000,0.05,-0.25,0,0.1,65,1.0635,-0.001,0,624
06/22/2020,SPXW200622C02600000,508.32,0.97,468.7,475.3,1,0,0.9998,0,1,2600.000,SPXW200622P02600000,0.05,-0.25,0,0.15,320,1.0792,-0.0015,0,3997
06/22/2020,SPXW200622C02610000,364.1,0,458.7,465.3,0,0,0.9999,0,10,2610.000,SPXW200622P02610000,0.05,-0.25,0,0.15,120,1.0549,-0.0015,0,1808
06/22/2020,SPXW200622C02620000,0,0,448.7,454.7,0,0,0.8561,0.0005,0,2620.000,SPXW200622P02620000,0.05,-0.3,0,0.1,356,0.9966,-0.0011,0,871
06/22/2020,SPXW200622C02625000,0,0,443.8,450.3,0,0.986,0.9989,0,0,2625.000,SPXW200622P02625000,0.05,-0.3,0,0.1,25,0.9821,-0.0011,0,709
06/22/2020,SPXW200622C02630000,0,0,438.8,445.3,0,0.9764,0.9989,0,0,2630.000,SPXW200622P02630000,0.15,-0.2,0.05,0.1,105,1.0068,-0.0015,0,3410
06/22/2020,SPXW200622C02640000,0,0,428.8,435.3,0,0.9537,0.9988,0,0,2640.000,SPXW200622P02640000,0.07,-0.28,0.05,0.2,93,1.0364,-0.0025,0,7385
06/22/2020,SPXW200622C02650000,457.38,0.08,418.8,425.3,1,0.9323,0.9988,0,10,2650.000,SPXW200622P02650000,0.1,-0.275,0.05,0.2,1375,1.0115,-0.0025,0,7836
06/22/2020,SPXW200622C02660000,468.37,0,408.8,414.8,0,0,0.8473,0.0005,10,2660.000,SPXW200622P02660000,0.07,-0.33,0.05,0.2,128,0.9882,-0.0026,0.0001,504
06/22/2020,SPXW200622C02670000,0,0,398.8,405.4,0,0.9435,0.9978,0,0,2670.000,SPXW200622P02670000,0.1,-0.3,0.05,0.2,49,0.9646,-0.0026,0.0001,3460
06/22/2020,SPXW200622C02675000,0,0,393.8,400.4,0,0.9323,0.9978,0,0,2675.000,SPXW200622P02675000,0.1,-0.3,0.05,0.2,80,0.9529,-0.0027,0.0001,215
06/22/2020,SPXW200622C02680000,0,0,388.8,395.4,0,0.9211,0.9977,0,0,2680.000,SPXW200622P02680000,0.12,-0.305,0.05,0.2,7071,0.9412,-0.0027,0.0001,200
06/22/2020,SPXW200622C02690000,0,0,378.8,385.4,0,0.9008,0.9976,0.0001,0,2690.000,SPXW200622P02690000,0.15,-0.3,0.05,0.25,511,0.9348,-0.0032,0.0001,1694
06/22/2020,SPXW200622C02700000,409.53,2.03,368.8,375,4,0,0.8379,0.0006,7,2700.000,SPXW200622P02700000,0.1,-0.35,0.1,0.15,1617,0.8955,-0.0029,0.0001,928
06/22/2020,SPXW200622C02710000,0,0,358.8,365,0,0,0.8351,0.0006,0,2710.000,SPXW200622P02710000,0.1,-0.4,0.1,0.25,40,0.9031,-0.0039,0.0001,366
06/22/2020,SPXW200622C02720000,407.9,0,348.8,354.9,0,0,0.8324,0.0006,1,2720.000,SPXW200622P02720000,0.15,-0.35,0.1,0.25,16,0.878,-0.0039,0.0001,262
06/22/2020,SPXW200622C02725000,0,0,343.8,349.8,0,0,0.831,0.0006,0,2725.000,SPXW200622P02725000,0.15,-0.375,0.1,0.2,178,0.8523,-0.0035,0.0001,1907
06/22/2020,SPXW200622C02730000,473.37,0,338.8,345.4,0,0.8088,0.9974,0.0001,1,2730.000,SPXW200622P02730000,0.18,-0.37,0.15,0.3,13,0.8777,-0.005,0.0001,270
06/22/2020,SPXW200622C02740000,362.13,-5.47,328.9,335.4,1,0.8185,0.9963,0.0001,1,2740.000,SPXW200622P02740000,0.3,-0.25,0.15,0.3,37,0.8534,-0.0051,0.0001,835
06/22/2020,SPXW200622C02750000,352.13,-5.47,318.9,325.5,1,0.8196,0.9952,0.0001,1,2750.000,SPXW200622P02750000,0.15,-0.45,0.15,0.35,289,0.8388,-0.0057,0.0001,2587
06/22/2020,SPXW200622C02760000,0,0,308.9,315.1,0,0,0.8204,0.0007,0,2760.000,SPXW200622P02760000,0.2,-0.4,0.2,0.35,72,0.8241,-0.0064,0.0001,481
06/22/2020,SPXW200622C02765000,0,0,303.9,310.2,0,0.6821,0.9984,0,0,2765.000,SPXW200622P02765000,0.2,-0.45,0.2,0.4,19,0.8199,-0.0069,0.0001,79
06/22/2020,SPXW200622C02770000,0,0,298.9,305.5,0,0.7705,0.995,0.0001,0,2770.000,SPXW200622P02770000,0.2,-0.45,0.2,0.4,5,0.8072,-0.007,0.0001,215
06/22/2020,SPXW200622C02775000,0,0,294,300.5,0,0.7782,0.9939,0.0001,0,2775.000,SPXW200622P02775000,0.2,-0.475,0.2,0.4,85,0.7945,-0.0071,0.0002,193
06/22/2020,SPXW200622C02780000,0,0,288.9,295.5,0,0.7467,0.9948,0.0001,0,2780.000,SPXW200622P02780000,0.2,-0.5,0.25,0.45,203,0.7968,-0.0081,0.0002,345
06/22/2020,SPXW200622C02785000,0,0,283.9,290.6,0,0.7534,0.9937,0.0001,0,2785.000,SPXW200622P02785000,0.2,-0.5,0.25,0.45,45,0.7839,-0.0082,0.0002,218
06/22/2020,SPXW200622C02790000,323.58,0,279,285.2,0,0.6715,0.997,0.0001,10,2790.000,SPXW200622P02790000,0.2,-0.55,0.25,0.45,506,0.7707,-0.0083,0.0002,64
06/22/2020,SPXW200622C02795000,0,0,274,280.3,0,0.6876,0.9957,0.0001,0,2795.000,SPXW200622P02795000,0.2,-0.55,0.3,0.5,93,0.771,-0.0094,0.0002,33
06/22/2020,SPXW200622C02800000,297.28,-10.62,269,275.6,1,0.732,0.9924,0.0002,21,2800.000,SPXW200622P02800000,0.31,-0.465,0.4,0.45,3004,0.7645,-0.01,0.0002,866
06/22/2020,SPXW200622C02805000,249.41,0,264,270.6,0,0.719,0.9923,0.0002,19,2805.000,SPXW200622P02805000,0.35,-0.45,0.3,0.5,303,0.7452,-0.0097,0.0002,171
06/22/2020,SPXW200622C02810000,326.34,28.49,259,265.7,3,0.7202,0.9911,0.0002,13,2810.000,SPXW200622P02810000,0.35,-0.475,0.35,0.55,30,0.7438,-0.0108,0.0002,1716
06/22/2020,SPXW200622C02815000,0,0,253.9,260.3,0,0.6153,0.9967,0.0001,0,2815.000,SPXW200622P02815000,0.35,-0.5,0.35,0.6,81,0.7363,-0.0115,0.0003,1306
06/22/2020,SPXW200622C02820000,305.85,0,249.1,255.7,0,0.7072,0.9898,0.0002,16,2820.000,SPXW200622P02820000,0.35,-0.525,0.4,0.6,52,0.7282,-0.0121,0.0003,251
06/22/2020,SPXW200622C02825000,326.62,0,244.2,250.9,0,0.7242,0.9867,0.0003,5,2825.000,SPXW200622P02825000,0.35,-0.55,0.4,0.65,1632,0.7196,-0.0128,0.0003,397
06/22/2020,SPXW200622C02830000,296.05,0,239.3,245.3,0,0.6577,0.9915,0.0002,10,2830.000,SPXW200622P02830000,0.4,-0.55,0.45,0.65,126,0.7111,-0.0135,0.0003,167
06/22/2020,SPXW200622C02835000,290.23,0,234.2,240.3,0,0.6306,0.9926,0.0002,5,2835.000,SPXW200622P02835000,0.35,-0.6,0.45,0.7,54,0.7024,-0.0142,0.0003,74
06/22/2020,SPXW200622C02840000,233.8,0,229.3,234.6,0,0,0.7903,0.0009,0,2840.000,SPXW200622P02840000,0.3,-0.7,0.5,0.75,581,0.6973,-0.0154,0.0003,319
06/22/2020,SPXW200622C02845000,280.38,0,224.4,230.4,0,0.643,0.9889,0.0003,8,2845.000,SPXW200622P02845000,0.75,-0.275,0.55,0.75,149,0.6872,-0.0161,0.0004,149
06/22/2020,SPXW200622C02850000,244.28,-13.87,219.4,224.8,14,0.5368,0.9962,0.0001,15,2850.000,SPXW200622P02850000,0.65,-0.425,0.65,0.8,3227,0.6846,-0.0178,0.0004,560
06/22/2020,SPXW200622C02855000,0,0,214.3,220.6,0,0.6271,0.9873,0.0003,0,2855.000,SPXW200622P02855000,0.52,-0.58,0.6,0.85,136,0.671,-0.0182,0.0004,119
06/22/2020,SPXW200622C02860000,234.33,-13.92,209.5,215.4,14,0.6142,0.9871,0.0003,15,2860.000,SPXW200622P02860000,0.37,-0.78,0.65,0.9,813,0.664,-0.0195,0.0004,289
06/22/2020,SPXW200622C02865000,0,0,204.5,210.4,0,0.6011,0.9868,0.0003,0,2865.000,SPXW200622P02865000,0.7,-0.5,0.7,0.95,214,0.6565,-0.0208,0.0005,267
06/22/2020,SPXW200622C02870000,162.78,0,199.6,205.4,0,0.5967,0.9854,0.0004,7,2870.000,SPXW200622P02870000,0.4,-0.85,0.75,1,123,0.6485,-0.0222,0.0005,289
06/22/2020,SPXW200622C02875000,164.15,0,194.6,200.5,0,0.5915,0.984,0.0004,8,2875.000,SPXW200622P02875000,0.9,-0.4,0.8,1.05,608,0.64,-0.0236,0.0005,213
06/22/2020,SPXW200622C02880000,224.31,-4.24,189.5,195.9,2,0.5992,0.9804,0.0005,2,2880.000,SPXW200622P02880000,0.75,-0.6,0.85,1.1,530,0.6312,-0.025,0.0006,379
06/22/2020,SPXW200622C02885000,244.2,0,184.4,190.4,0,0.5397,0.987,0.0004,3,2885.000,SPXW200622P02885000,0.85,-0.575,0.9,1.15,248,0.6221,-0.0265,0.0006,61
06/22/2020,SPXW200622C02890000,240.3,0,179.7,186.3,0,0.6052,0.9734,0.0006,9,2890.000,SPXW200622P02890000,0.77,-0.705,0.95,1.2,45,0.6126,-0.028,0.0006,100
06/22/2020,SPXW200622C02895000,152.4,0,174.5,181,0,0.5638,0.9781,0.0006,8,2895.000,SPXW200622P02895000,0.85,-0.7,1,1.3,239,0.605,-0.03,0.0007,205
06/22/2020,SPXW200622C02900000,208.38,-0.32,169.7,175.8,17,0.55,0.9776,0.0006,10,2900.000,SPXW200622P02900000,1.05,-0.575,1.1,1.4,2428,0.599,-0.0326,0.0008,4434
06/22/2020,SPXW200622C02905000,226.53,0,164.7,171.2,0,0.557,0.9727,0.0007,2,2905.000,SPXW200622P02905000,0.9,-0.825,1.2,1.45,123,0.5903,-0.0347,0.0008,213
06/22/2020,SPXW200622C02910000,140,0,160,166.3,0,0.5609,0.9679,0.0008,9,2910.000,SPXW200622P02910000,1.1,-0.725,1.25,1.6,298,0.583,-0.0374,0.0009,348
06/22/2020,SPXW200622C02915000,196.12,0,155.1,161.2,0,0.546,0.9671,0.0008,16,2915.000,SPXW200622P02915000,1.45,-0.475,1.4,1.7,97,0.5769,-0.0406,0.0009,241
06/22/2020,SPXW200622C02920000,135.32,0,149.8,155.6,0,0.4887,0.9765,0.0007,21,2920.000,SPXW200622P02920000,1.27,-0.755,1.5,1.85,265,0.57,-0.0439,0.001,187
06/22/2020,SPXW200622C02925000,131.37,0,145.5,152,0,0.5593,0.9536,0.0011,18,2925.000,SPXW200622P02925000,1.69,-0.485,1.65,2,1995,0.564,-0.0477,0.0011,476
06/22/2020,SPXW200622C02930000,194.3,0,140.4,146.7,0,0.5308,0.9562,0.0011,11,2930.000,SPXW200622P02930000,1.65,-0.65,1.8,2.15,275,0.5571,-0.0516,0.0012,332
06/22/2020,SPXW200622C02935000,87.6,0,135.8,142.4,0,0.5481,0.9448,0.0013,36,2935.000,SPXW200622P02935000,1.55,-0.925,2,2.35,197,0.5522,-0.0565,0.0013,137
06/22/2020,SPXW200622C02940000,172.63,0,131,137.1,0,0.5292,0.9442,0.0013,39,2940.000,SPXW200622P02940000,2.45,-0.2,2.35,2.6,1830,0.5513,-0.0632,0.0014,468
06/22/2020,SPXW200622C02945000,146.15,-18.75,126.2,132.2,4,0.5209,0.9399,0.0014,69,2945.000,SPXW200622P02945000,1.95,-0.875,2.45,2.85,104,0.543,-0.0678,0.0015,275
06/22/2020,SPXW200622C02950000,189.2,0,121.5,127.4,0,0.5167,0.9337,0.0015,294,2950.000,SPXW200622P02950000,2.9,-0.175,2.7,3.1,3929,0.5375,-0.0739,0.0016,8148
06/22/2020,SPXW200622C02955000,178.2,0,116.7,122,0,0.4952,0.9336,0.0016,8,2955.000,SPXW200622P02955000,2.47,-0.83,2.95,3.4,593,0.5318,-0.0805,0.0017,305
06/22/2020,SPXW200622C02960000,170,0,112,118.1,0,0.5091,0.9192,0.0018,15,2960.000,SPXW200622P02960000,2.77,-0.73,3.3,3.7,961,0.5271,-0.088,0.0019,152
06/22/2020,SPXW200622C02965000,146.9,1,107.4,114,46,0.5166,0.9062,0.002,81,2965.000,SPXW200622P02965000,2.41,-1.39,3.6,4.1,1488,0.5221,-0.0961,0.002,163
06/22/2020,SPXW200622C02970000,165.7,24.5,105.2,107.2,40,0.5159,0.8957,0.0022,49,2970.000,SPXW200622P02970000,4.17,0.07,4.1,4.5,1031,0.5193,-0.1057,0.0022,522
06/22/2020,SPXW200622C02975000,109.53,-26.97,100.7,102.7,12,0.5135,0.8851,0.0023,109,2975.000,SPXW200622P02975000,4.75,0.3,4.5,5,4746,0.5151,-0.1156,0.0023,1092
06/22/2020,SPXW200622C02980000,104.88,-27.02,96.2,98.2,13,0.5095,0.8744,0.0025,47,2980.000,SPXW200622P02980000,5.07,0.27,5,5.5,616,0.511,-0.1263,0.0025,281
06/22/2020,SPXW200622C02985000,147.9,0,91.7,93.7,0,0.5042,0.8635,0.0027,43,2985.000,SPXW200622P02985000,5.57,0.37,5.5,6,730,0.5056,-0.1371,0.0027,161
06/22/2020,SPXW200622C02990000,155.38,32.88,87.3,89.2,4,0.499,0.8517,0.0029,46,2990.000,SPXW200622P02990000,6.22,0.62,6,6.6,1290,0.5003,-0.1489,0.0029,214
06/22/2020,SPXW200622C02995000,112.93,-5.02,82.9,84.9,11,0.4949,0.8384,0.0031,44,2995.000,SPXW200622P02995000,5.78,-0.27,6.7,7.3,755,0.4974,-0.1628,0.0031,344
06/22/2020,SPXW200622C03000000,104.18,-9.27,78.6,80.5,44,0.4894,0.8248,0.0033,1009,3000.000,SPXW200622P03000000,7.75,1.2,7.3,8,4209,0.4918,-0.1763,0.0033,4690
06/22/2020,SPXW200622C03005000,99.57,-9.43,74.3,76.3,6,0.4848,0.8098,0.0035,89,3005.000,SPXW200622P03005000,7.61,0.56,8.1,8.7,339,0.487,-0.1912,0.0035,219
06/22/2020,SPXW200622C03010000,101.98,-2.62,70.1,72.1,31,0.4797,0.794,0.0037,98,3010.000,SPXW200622P03010000,7.7,0.05,8.9,9.5,1207,0.4819,-0.207,0.0037,463
06/22/2020,SPXW200622C03015000,91.7,-8.5,66,67.9,7,0.4743,0.7773,0.0039,140,3015.000,SPXW200622P03015000,8.44,0.19,9.7,10.4,8751,0.4763,-0.2237,0.0039,490
06/22/2020,SPXW200622C03020000,93.75,-2.1,62,63.8,31,0.4693,0.7592,0.0041,53,3020.000,SPXW200622P03020000,9.7,0.75,10.8,11.4,3385,0.4732,-0.2425,0.0041,221
06/22/2020,SPXW200622C03025000,63.35,-28.25,58,59.9,46,0.4646,0.7399,0.0043,219,3025.000,SPXW200622P03025000,12.6,2.95,11.8,12.4,3842,0.4674,-0.2613,0.0043,411
06/22/2020,SPXW200622C03030000,59.35,-27.95,54.2,56,35,0.46,0.7193,0.0045,134,3030.000,SPXW200622P03030000,13.9,3.5,12.9,13.5,856,0.4619,-0.2814,0.0045,266
06/22/2020,SPXW200622C03035000,67.1,-16.05,50.4,52.2,7,0.4547,0.6979,0.0047,33,3035.000,SPXW200622P03035000,15.1,3.9,14.2,14.8,340,0.4582,-0.3034,0.0047,158
06/22/2020,SPXW200622C03040000,69.27,-9.73,46.8,48.5,29,0.4501,0.6751,0.0049,71,3040.000,SPXW200622P03040000,16.2,4.1,15.4,16.2,1219,0.4527,-0.3258,0.0049,733
06/22/2020,SPXW200622C03045000,72.03,-2.92,43.2,45,24,0.4454,0.6511,0.0051,52,3045.000,SPXW200622P03045000,17.7,4.7,16.9,17.7,652,0.4488,-0.3499,0.0051,155
06/22/2020,SPXW200622C03050000,69.4,-1.6,40.2,41.5,64,0.4437,0.6253,0.0053,191,3050.000,SPXW200622P03050000,17.35,3.35,18.5,19.3,2173,0.4446,-0.3749,0.0053,549
06/22/2020,SPXW200622C03055000,57.18,-9.82,36.9,38.1,60,0.4384,0.5995,0.0055,126,3055.000,SPXW200622P03055000,16.4,1.3,20.1,21,3788,0.4392,-0.4006,0.0054,96
06/22/2020,SPXW200622C03060000,54.34,-8.86,33.7,34.9,70,0.4334,0.5726,0.0056,83,3060.000,SPXW200622P03060000,19,2.7,21.9,22.8,2159,0.4342,-0.4275,0.0056,300
06/22/2020,SPXW200622C03065000,50.93,-8.47,30.7,31.9,83,0.4294,0.5447,0.0057,86,3065.000,SPXW200622P03065000,20,2.5,23.9,24.8,1695,0.4302,-0.4554,0.0057,150
06/22/2020,SPXW200622C03070000,29.01,-26.69,27.9,29,50,0.4257,0.5161,0.0058,85,3070.000,SPXW200622P03070000,25.74,6.89,26,26.9,830,0.4257,-0.4839,0.0058,333
06/22/2020,SPXW200622C03075000,29.6,-22.5,25.1,26.2,156,0.4204,0.4868,0.0059,1915,3075.000,SPXW200622P03075000,29.3,9.05,28.3,29.2,1076,0.422,-0.5131,0.0058,1237
06/22/2020,SPXW200622C03080000,45.4,-3.2,22.5,23.6,88,0.416,0.457,0.0059,265,3080.000,SPXW200622P03080000,31,9.25,30.6,31.6,806,0.4168,-0.5429,0.0059,125
06/22/2020,SPXW200622C03085000,36.52,-8.68,20,21.1,51,0.4108,0.4268,0.0059,79,3085.000,SPXW200622P03085000,34.44,11.09,32.7,34.2,329,0.4093,-0.5735,0.0059,191
06/22/2020,SPXW200622C03090000,21.79,-20.16,17.8,18.8,324,0.4071,0.3966,0.0059,110,3090.000,SPXW200622P03090000,32.9,7.85,35.3,37,1107,0.4047,-0.604,0.0059,436
06/22/2020,SPXW200622C03095000,19.2,-19.6,15.6,16.6,221,0.4017,0.366,0.0058,149,3095.000,SPXW200622P03095000,40.18,13.33,38.1,39.9,650,0.4,-0.6345,0.0058,194
06/22/2020,SPXW200622C03100000,14.17,-21.58,13.6,14.6,1043,0.3969,0.3358,0.0057,902,3100.000,SPXW200622P03100000,38.09,9.24,41.1,42.9,3494,0.3952,-0.6649,0.0057,668
06/22/2020,SPXW200622C03105000,11.51,-21.34,11.9,12.8,364,0.3938,0.3067,0.0055,236,3105.000,SPXW200622P03105000,46.37,15.42,44.3,46.1,470,0.3912,-0.6946,0.0055,199
06/22/2020,SPXW200622C03110000,10.77,-19.28,10.2,11.2,765,0.3898,0.2778,0.0053,477,3110.000,SPXW200622P03110000,49.77,16.62,47.7,49.5,409,0.3879,-0.7231,0.0053,245
06/22/2020,SPXW200622C03115000,8.5,-18.95,8.8,9.6,377,0.3857,0.2499,0.0051,257,3115.000,SPXW200622P03115000,42.6,7.05,51.2,53.1,554,0.3847,-0.7507,0.0051,347
06/22/2020,SPXW200622C03120000,8.23,-16.72,7.5,8.3,361,0.3827,0.2237,0.0048,468,3120.000,SPXW200622P03120000,50.15,12.1,54.9,56.8,484,0.3817,-0.777,0.0048,221
